ID,Флаг дозвона,Флаг продажи,Расходы,PV,NPV
794,1,0,40,0,-40
795,1,0,53,0,-53
796,1,0,14,0,-14
797,0,0,60,0,-60
798,0,0,30,0,-30
799,1,0,10,0,-10
800,0,0,58,0,-58
801,1,0,77,0,-77
802,0,0,162,0,-162
803,1,1,550,1405,855
804,1,1,508,1344,836
805,0,0,25,0,-25
806,1,1,211,1244,1033
807,0,0,67,0,-67
808,1,0,16,0,-16
809,1,0,19,0,-19
810,1,0,5,0,-5
811,0,0,75,0,-75
812,0,0,50,0,-50
813,1,1,160,1271,1111
814,1,1,647,1371,724
815,1,0,100,0,-100
816,1,0,34,0,-34
817,0,0,66,0,-66
818,1,0,48,0,-48
819,0,0,19,0,-19
820,0,0,20,0,-20
821,1,1,152,1275,1123
822,0,0,41,0,-41
823,1,0,17,0,-17
824,1,1,927,1802,875
825,1,1,377,1579,1202
826,1,1,1523,2914,1391
827,0,0,47,0,-47
828,1,1,104,1586,1482
829,1,1,235,1411,1176
830,0,0,0,0,0
831,0,0,2,0,-2
832,1,1,807,1252,445
833,1,0,3,0,-3
834,1,1,892,1425,533
835,1,1,221,1946,1725
836,1,1,712,3465,2753
837,0,0,9,0,-9
838,1,1,915,1927,1012
839,1,0,22,0,-22
840,1,1,393,1371,978
841,1,0,17,0,-17
842,1,1,178,1771,1593
843,0,0,3,0,-3
844,1,0,33,0,-33
845,0,0,22,0,-22
846,1,1,847,1317,470
847,1,1,556,1275,719
848,0,0,9,0,-9
849,1,1,1364,2083,719
850,1,0,138,0,-138
851,1,1,357,1499,1142
852,1,0,4,0,-4
853,1,1,913,1387,474
854,0,0,40,0,-40
855,0,0,14,0,-14
856,0,0,48,0,-48
857,0,0,0,0,0
858,1,1,576,1288,712
859,1,0,177,0,-177
860,1,1,715,1915,1200
861,1,1,1492,1641,149
862,0,0,3,0,-3
863,1,0,66,0,-66
864,0,0,47,0,-47
865,1,0,52,0,-52
866,1,0,32,0,-32
867,1,1,221,1266,1045
868,0,0,20,0,-20
869,0,0,93,0,-93
870,1,0,100,0,-100
871,0,0,46,0,-46
872,1,0,36,0,-36
873,1,1,668,1948,1280
874,0,0,42,0,-42
875,0,0,50,0,-50
876,1,0,13,0,-13
877,0,0,55,0,-55
878,1,1,163,1922,1759
879,1,0,84,0,-84
880,1,1,1239,1513,274
881,1,0,15,0,-15
882,0,0,165,0,-165
883,1,0,77,0,-77
884,1,0,52,0,-52
885,0,0,67,0,-67
886,0,0,69,0,-69
887,1,0,88,0,-88
888,0,0,22,0,-22
889,0,0,22,0,-22
890,0,0,111,0,-111
891,1,0,0,0,0
892,0,0,23,0,-23
893,1,1,593,1341,748
894,0,0,147,0,-147
895,0,0,70,0,-70
896,0,0,97,0,-97
897,0,0,33,0,-33
898,1,1,1185,1578,393
899,1,1,590,1508,918
900,0,0,7,0,-7
901,1,0,12,0,-12
902,1,1,642,1243,601
903,0,0,5,0,-5
904,0,0,40,0,-40
905,1,0,7,0,-7
906,1,1,917,1348,431
907,0,0,3,0,-3
908,1,1,787,1360,573
909,0,0,41,0,-41
910,1,0,80,0,-80
911,1,1,230,1371,1141
912,0,0,38,0,-38
913,1,0,129,0,-129
914,0,0,18,0,-18
915,0,0,0,0,0
916,1,0,7,0,-7
917,1,0,101,0,-101
918,0,0,10,0,-10
919,0,0,4,0,-4
920,0,0,0,0,0
921,1,0,154,0,-154
922,1,1,225,1289,1064
923,0,0,68,0,-68
924,1,0,91,0,-91
925,0,0,193,0,-193
926,1,1,53,1345,1292
927,1,0,35,0,-35
928,1,0,26,0,-26
929,1,0,27,0,-27
930,0,0,51,0,-51
931,1,1,492,2773,2281
932,1,1,275,1457,1182
933,1,0,2,0,-2
934,0,0,14,0,-14
935,1,1,196,1275,1079
936,0,0,4,0,-4
937,1,0,34,0,-34
938,1,1,1091,2749,1658
939,0,0,13,0,-13
940,0,0,72,0,-72
941,1,0,8,0,-8
942,1,0,131,0,-131
943,1,1,623,1413,790
944,1,1,142,1446,1304
945,1,0,22,0,-22
946,0,0,0,0,0
947,1,1,157,1544,1387
948,1,1,2554,2024,-530
949,1,0,7,0,-7
950,1,0,6,0,-6
951,1,0,21,0,-21
952,1,0,12,0,-12
953,0,0,4,0,-4
954,0,0,35,0,-35
955,0,0,12,0,-12
956,1,0,117,0,-117
957,0,0,62,0,-62
958,1,0,97,0,-97
959,0,0,7,0,-7
960,1,1,375,1657,1282
961,1,1,308,1394,1086
962,0,0,6,0,-6
963,0,0,1,0,-1
964,1,1,152,1369,1217
965,0,0,135,0,-135
966,0,0,34,0,-34
967,1,1,526,1598,1072
968,0,0,13,0,-13
969,1,1,327,1286,959
970,0,0,224,0,-224
971,1,1,320,1315,995
972,1,0,70,0,-70
973,1,0,248,0,-248
974,1,0,11,0,-11
975,0,0,87,0,-87
976,1,1,311,1509,1198
977,1,1,28,1551,1523
978,0,0,68,0,-68
979,1,1,123,1349,1226
980,0,0,45,0,-45
981,0,0,78,0,-78
982,1,0,20,0,-20
983,1,1,409,1546,1137
984,1,0,27,0,-27
985,0,0,37,0,-37
986,0,0,77,0,-77
987,0,0,120,0,-120
988,1,1,346,1351,1005
989,0,0,16,0,-16
990,1,1,507,4202,3695
991,0,0,77,0,-77
992,0,0,8,0,-8
993,1,0,107,0,-107
994,0,0,32,0,-32
995,1,1,568,1270,702
996,1,0,134,0,-134
997,1,1,183,1579,1396
998,0,0,34,0,-34
999,1,0,151,0,-151
1000,1,0,113,0,-113
1001,0,0,10,0,-10
1002,1,0,1,0,-1
1003,1,0,4,0,-4
1004,1,1,75,1595,1520
1005,1,0,5,0,-5
1006,0,0,42,0,-42
1007,1,1,306,1850,1544
1008,0,0,83,0,-83
1009,1,0,5,0,-5
1010,1,1,170,1246,1076
1011,1,1,982,2240,1258
1012,0,0,25,0,-25
1013,1,1,389,1342,953
1014,1,0,12,0,-12
1015,1,0,6,0,-6
1016,1,1,166,1242,1076
1017,1,1,343,1342,999
1018,1,1,1510,1882,372
1019,1,1,348,1416,1068
1020,1,1,280,1304,1024
1021,0,0,45,0,-45
1022,0,0,39,0,-39
1023,1,0,24,0,-24
1024,1,1,359,1384,1025
1025,1,1,138,1331,1193
1026,1,1,628,1656,1028
1027,1,1,318,1606,1288
1028,1,0,14,0,-14
1029,1,1,140,1577,1437
1030,1,0,89,0,-89
1031,0,0,5,0,-5
1032,1,0,34,0,-34
1033,1,0,50,0,-50
1034,1,1,112,2061,1949
1035,1,1,1435,1297,-138
1036,1,1,267,2010,1743
1037,1,0,110,0,-110
